R.U.T.,Entidad,Vigencia,URL Ficha,rut,nombre_razon_social,nombre_fantasia,vigencia,tipo_persona,numero_inscripcion,tipo_doc_nombramiento,nro_doc_nombramiento,fecha_doc_nombramiento,telefono,domicilio,comuna,ciudad,region,casilla,url_ficha
78122469-3,RIVS CORREDORES DE SEGUROS SpA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78122469&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWP4AAD&control=svs&pestania=1,78122469-3,RIVS CORREDORES DE SEGUROS SpA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9956,Certificado,,2025-08-05,,"EL TROVADOR N°4280, OFICINA 307",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78122469&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWP4AAD&control=svs&pestania=1
76011635-1,RKC RISK CONSULTING CORREDORES DE SEGUROS S.A.,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76011635&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHWAAT&control=svs&pestania=1,76011635-1,RKC RISK CONSULTING CORREDORES DE SEGUROS S.A.,RKC S.A.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,6535,Certificado,,2008-03-13,,AV. APOQUINDO 5400 OFICINA 1201,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76011635&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHWAAT&control=svs&pestania=1
76995711-1,RME CORREDORA DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76995711&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOcAAf&control=svs&pestania=1,76995711-1,RME CORREDORA DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8745,Certificado,,2020-06-03,,AVENIDA SALVADOR 1921 DEPTO.303,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76995711&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOcAAf&control=svs&pestania=1
76480913-0,RODRIGO LAGOS REDDERSEN CORREDORES DE SEGUROS E.I.R.L.,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76480913&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOaAAA&control=svs&pestania=1,76480913-0,RODRIGO LAGOS REDDERSEN CORREDORES DE SEGUROS E.I.R.L.,LAKES CORREDORES DE SEGUROS E.I.R.L.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7747,Certificado,,2015-05-06,,MANUEL PLAZA 20,,CHILLAN,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76480913&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOaAAA&control=svs&pestania=1
76550223-3,ROGERS FONTECILLA RADRIGAN CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76550223&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOXAAX&control=svs&pestania=1,76550223-3,ROGERS FONTECILLA RADRIGAN CORREDORES DE SEGUROS LIMITADA,ROGERS FONTECILLA RADRIGAN LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8039,,,2016-11-04,,EDMUNDO ELUCHANS 3047 OF. 66,,VIÑA DEL MAR,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76550223&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOXAAX&control=svs&pestania=1
77730846-7,ROJAS DE LEÓN SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77730846&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO3AAm&control=svs&pestania=1,77730846-7,ROJAS DE LEÓN SPA,ROJAS DE LEÓN SPA,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9392,Certificado,,2023-04-27,,BREMEN 1644 DPTO. 104,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77730846&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO3AAm&control=svs&pestania=1
77794481-9,ROSS CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77794481&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWP+AAB&control=svs&pestania=1,77794481-9,ROSS CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9552,Certificado,,2023-10-26,,HUERFANOS 1160 D 1102 OF 1,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77794481&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWP+AAB&control=svs&pestania=1
76310712-4,ROSSANNE PAOLA JUUL MARTINEZ CORREDORA DE SEGUROS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76310712&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAH2AAB&control=svs&pestania=1,76310712-4,ROSSANNE PAOLA JUUL MARTINEZ CORREDORA DE SEGUROS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,JUUL CORREDORA DE SEGUROS E.I.R.L.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7457,Certificado,,2013-12-30,,MANUEL ANTONIO MATTA 2095 OF. 404,,ANTOFAGASTA,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76310712&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAH2AAB&control=svs&pestania=1
77741424-0,ROWE CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77741424&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPZAAC&control=svs&pestania=1,77741424-0,ROWE CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9598,Certificado,473,2024-01-26,,ROMAN DIAZ 1015,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77741424&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPZAAC&control=svs&pestania=1
77269542-K,ROYAL CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77269542&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO4AAO&control=svs&pestania=1,77269542-K,ROYAL CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8838,Certificado,,2021-05-14,,"LA CAPITANIA 80, OF 108",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77269542&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO4AAO&control=svs&pestania=1
78198835-9,RSP & ASOCIADOS SpA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78198835&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPbAAG&control=svs&pestania=1,78198835-9,RSP & ASOCIADOS SpA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9987,Certificado,,2025-09-04,,"LOS ALPES N°960, DEPTO. 1801",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78198835&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPbAAG&control=svs&pestania=1
76524323-8,RUCAMALEN CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76524323&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOPAAN&control=svs&pestania=1,76524323-8,RUCAMALEN CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7894,Certificado,,2016-02-08,,LAS TRANQUERAS 2500 DEPTO 42,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76524323&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOPAAN&control=svs&pestania=1
76860714-1,RUIZ - TAGLE Y COMPAÑÍA CORRETAJE DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76860714&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPNAAF&control=svs&pestania=1,76860714-1,RUIZ - TAGLE Y COMPAÑÍA CORRETAJE DE SEGUROS LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9697,Certificado,,2024-07-08,,"AV. TABANCURA N°1515, OFICINA 404",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76860714&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPNAAF&control=svs&pestania=1
77057122-7,S-LENCK CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77057122&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOuAAG&control=svs&pestania=1,77057122-7,S-LENCK CORREDORES DE SEGUROS SPA,S-LENCK SPA,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8694,Certificado,,2020-02-18,,LOLCO 7942 LAS CONDES,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77057122&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOuAAG&control=svs&pestania=1
76327320-2,SAFE CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76327320&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAGKAAq&control=svs&pestania=1,76327320-2,SAFE CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,6183,Certificado,,2005-09-27,,ARTURO PRAT 618 OFICINA 4,,LA CALERA,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76327320&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAGKAAq&control=svs&pestania=1
76184352-4,SAFETY CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76184352&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHvAAM&control=svs&pestania=1,76184352-4,SAFETY CORREDORES DE SEGUROS LIMITADA,SAFETY LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7089,Certificado,,2012-02-02,,PJE ULMO 1194 VILLA U. DE CONCEPCION,,CONCEPCION,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76184352&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHvAAM&control=svs&pestania=1
77895340-4,SALAZAR CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77895340&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAGsAAP&control=svs&pestania=1,77895340-4,SALAZAR CORREDORES DE SEGUROS LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,5795,Certificado,,2003-06-18,,HUERFANOS 1373 OFICINA 1104,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77895340&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAGsAAP&control=svs&pestania=1
78309720-6,SALAZAR Y ASOCIADOS PRODUCTORES  Y CONSULTORES DE SEGUROS LI,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78309720&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFzAAG&control=svs&pestania=1,78309720-6,SALAZAR Y ASOCIADOS PRODUCTORES Y CONSULTORES DE SEGUROS LI,SALAZAR PRODUCTORES DE SEGUROS LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,4580,Resolución,280,1992-12-18,,BERNA 124 DEPTO C,,QUILPUE,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78309720&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFzAAG&control=svs&pestania=1
77847534-0,SALOMON CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77847534&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPcAAB&control=svs&pestania=1,77847534-0,SALOMON CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9660,Certificado,,2024-05-20,,"JARDINES DE REÑACA 50, DEPTO 157",,VIÑA DEL MAR,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77847534&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPcAAB&control=svs&pestania=1
77005643-8,SALVCOR CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77005643&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOgAAG&control=svs&pestania=1,77005643-8,SALVCOR CORREDORES DE SEGUROS SPA,CORREDORES DE SEGUROS SALVCOR SPA,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8625,Certificado,,2019-10-30,,ARBORETUM NORTE 10900,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77005643&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOgAAG&control=svs&pestania=1
76839875-5,"SANDRA BEGLIOMINI, CORREDORES DE SEGUROS SPA",VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76839875&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOyAAB&control=svs&pestania=1,76839875-5,"SANDRA BEGLIOMINI, CORREDORES DE SEGUROS SPA",,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8358,Certificado,,2018-08-08,,URIBE 636 OF. 707,,ANTOFAGASTA,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76839875&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOyAAB&control=svs&pestania=1
76250336-0,SANTA MARIA CORREDORES DE SEGUROS Y REASEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76250336&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAH1AAa&control=svs&pestania=1,76250336-0,SANTA MARIA CORREDORES DE SEGUROS Y REASEGUROS LIMITADA,SANTA MARIA CORREDORES DE SEGUROS LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7323,Certificado,,2013-05-15,,TODD EVERED 318 MIRAFLORES BAJO,,VIÑA DEL MAR,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76250336&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAH1AAa&control=svs&pestania=1
76766879-1,SANTA SOFIA CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76766879&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOMAAK&control=svs&pestania=1,76766879-1,SANTA SOFIA CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8219,Certificado,,2017-10-11,,"AV PRESIDENTE KENNEDY 6800, VITACURA",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76766879&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOMAAK&control=svs&pestania=1
77944373-6,SANTANDER & ARRIAGADA CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77944373&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPWAAK&control=svs&pestania=1,77944373-6,SANTANDER & ARRIAGADA CORREDORES DE SEGUROS SPA,SANTANDER & ARRIAGADA CORREDORES DE SEGUROS SPA,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9899,Certificado,,2025-04-25,,LATADIA N°4191,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77944373&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPWAAK&control=svs&pestania=1
96524260-0,SANTANDER CORREDORA DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=96524260&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHoAAM&control=svs&pestania=1,96524260-0,SANTANDER CORREDORA DE SEGUROS LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,6580,Certificado,,2008-07-29,,BOMBERO OSSA 1068 PISO 4,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=96524260&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHoAAM&control=svs&pestania=1
77043920-5,SANZ Y NEIRA CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77043920&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFkAAH&control=svs&pestania=1,77043920-5,SANZ Y NEIRA CORREDORES DE SEGUROS LIMITADA,SANZ Y NEIRA LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,5106,Resolución,358,1997-11-28,,URMENETA 305 OFICINA 511,,PUERTO MONTT,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77043920&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAFkAAH&control=svs&pestania=1
76801317-9,SARMIENTO Y CIA. CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76801317&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOqAAA&control=svs&pestania=1,76801317-9,SARMIENTO Y CIA. CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8265,Certificado,,2018-01-24,,LA ESPAÑOLA 3889,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76801317&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOqAAA&control=svs&pestania=1
77916191-9,SCHIRMER CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77916191&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPiAAC&control=svs&pestania=1,77916191-9,SCHIRMER CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9766,Certificado,,2024-09-26,,"AVENIDA DIAGONAL PARAGUAY 474, OF 61",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77916191&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPiAAC&control=svs&pestania=1
78745730-4,SCOTIA CORREDORA DE SEGUROS CHILE LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78745730&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAF5AAQ&control=svs&pestania=1,78745730-4,SCOTIA CORREDORA DE SEGUROS CHILE LIMITADA,SCOTIA CORREDORA DE SEGUROS CHILE LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,5270,Resolución,372,1998-12-04,,"AVENIDA COSTANERA SUR N 2710, PISO 15",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78745730&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAF5AAQ&control=svs&pestania=1
79855970-2,SEBASTIAN LYON Y COMPAÑIA LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=79855970&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOJAAT&control=svs&pestania=1,79855970-2,SEBASTIAN LYON Y COMPAÑIA LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8198,Certificado,,2017-09-01,,OXFORD N°610,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=79855970&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOJAAT&control=svs&pestania=1
77097168-3,SECURICE CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77097168&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOhAAH&control=svs&pestania=1,77097168-3,SECURICE CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8744,Certificado,,2020-06-02,,SAN PIO X 2445 OF. 804,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77097168&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOhAAH&control=svs&pestania=1
77841287-K,SEFUT CORREDORES DE SEGURO SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77841287&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPSAAE&control=svs&pestania=1,77841287-K,SEFUT CORREDORES DE SEGURO SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9621,Certificado,,2024-02-28,,COCHRANE 639 OF/DEPTO/CASA Nº 53,,VALPARAÍSO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77841287&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPSAAE&control=svs&pestania=1
78831830-8,SEGICHILE CORREDORES DE SEGUROS Y CONSULTORES LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78831830&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAGMAAF&control=svs&pestania=1,78831830-8,SEGICHILE CORREDORES DE SEGUROS Y CONSULTORES LIMITADA,SEGICHILE LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,5961,Certificado,,2004-10-06,,ALMAGRO 250 OFICINA 1209,,LOS ANGELES,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78831830&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAGMAAF&control=svs&pestania=1
76394400-K,SEGUMONT CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76394400&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHeAAA&control=svs&pestania=1,76394400-K,SEGUMONT CORREDORES DE SEGUROS LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,6268,Certificado,,2006-03-15,,MEDIO ORIENTE 831 OFICINA 305,,VINA DEL MAR,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76394400&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHeAAA&control=svs&pestania=1
77794272-7,SEGURO ONLINE CORREDORA DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77794272&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPsAAA&control=svs&pestania=1,77794272-7,SEGURO ONLINE CORREDORA DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9640,Certificado,,2024-04-08,,STA. MARTA DE HUECHURABA 6655CASA 12,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77794272&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPsAAA&control=svs&pestania=1
77336243-2,SEGURO SMART CORREDOR DE SEGUROS CARLOS ANTONIO ACEVEDO MUÑOZ E.I.R.L.,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77336243&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOlAAQ&control=svs&pestania=1,77336243-2,SEGURO SMART CORREDOR DE SEGUROS CARLOS ANTONIO ACEVEDO MUÑOZ E.I.R.L.,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8993,Certificado,,2021-11-26,,ABRAHAM ATALA 1055,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77336243&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOlAAQ&control=svs&pestania=1
76693896-5,SEGURODIRECTO CHILE CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76693896&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOoAAH&control=svs&pestania=1,76693896-5,SEGURODIRECTO CHILE CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8537,Certificado,,2019-06-24,,AVENIDA ELIODORO YAÑEZ 1070 OFICINA 41,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76693896&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOoAAH&control=svs&pestania=1
